已有数据: 14 条

============================================================
Round 1/6 | 并行生成 11 组查询...
  Prompt 5: 25 条
  Prompt 1: 25 条
  Prompt 8: 25 条
  Prompt 6: 25 条
  Prompt 7: 25 条
  Prompt 4: 25 条
  Prompt 2: 25 条
  Prompt 3: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 1386 条
  ✓ [15] rag_query            | 想申请开通凌霄管理后台的查看权限，需要直属领导审批还是直接找IT？
  ✓ [1255] multi_intent_split   | 云栖2.0”海外节点的服务器采购合同需要走法务审核，但阿里云账单显示上...
  ✓ [1256] escalate             | 因海外客户临时要求演示，我急需申请夸克企业版的高级数据导出权限，但标准...
  ✓ [1257] multi_intent_split   | 阿里云盘的企业空间突然无法同步文件，我5月8日要飞三亚开年度会，这系统...
  ✓ [1258] rag_query            | 忘记带工牌导致门禁刷不开，保安让找HR开通临时访客码，这个流程在移动审...
  ✓ [1259] rag_query            | 请详细说明新员工报到当日需携带的材料清单及系统录入路径。
  ✓ [1260] escalate             | 新入职员工的钉钉组织架构同步出现断层，导致我所在部门全员无法在审批流中...
  ✓ [1261] rag_query            | 会议室智能屏连不上内网无线怎么办？
  ✓ [1262] rag_query            | 婚假能拆分吗？
  ✓ [1263] multi_intent_split   | 员工手册里关于异地办公的申请条件是什么？另外重庆江北办公室新同事入职第...
  ✓ [1264] rag_query            | 办公电脑预装的杀毒软件即将到期，续费的采购申请单应该提交给哪个部门审核...
  ✓ [1265] escalate             | 请协助开通夸克用户行为日志的脱敏数据查看权限用于算法优化分析。
  ✓ [1266] escalate             | 我的异地调动补贴从8月起就未在工资单中体现，调令文件及补贴标准邮件均已...
  ✓ [1267] multi_intent_split   | 公司无线网络在会议室连不上，我明天要去合肥见客户，急需投屏演示，能派I...
  ✓ [1268] rag_query            | 试用期社保咋算？
  ✓ [1269] rag_query            | 上个月周末加班攒的调休，现在能一次性申请休两天半吗？
  ✓ [1270] escalate             | 线上服务报错了控制台日志拉不动，赶紧帮看下权限！
  ✓ [1271] rag_query            | 我准备离职交接，需要把钉钉群里的管理权转给同事李娜，同时导出我过去三年...
  ✓ [1272] rag_query            | 周末加班出差的差旅补贴标准是平时的1.5倍吗？
  ✓ [1273] rag_query            | 入职体检报告是扫描件上传还是交纸质版，下周三前必须给到HR吗？
  ✓ [1274] rag_query            | 财务部那台共享打印机的连接密码是什么？
  ✓ [1275] multi_intent_split   | 我下周三到周五要请事假参加“云栖峰会”，但钉钉考勤系统显示我本月事假额...
  ✓ [1276] rag_query            | 贴票规则看不懂，能举个例吗？
  ✓ [1277] multi_intent_split   | 加班打车费咋报销，另外通义听悟会员到期了能续不？
  ✓ [1278] rag_query            | 去年年底垫付的“双十一”活动场地租赁费，现在供应商才补开发票，跨年发票...
  ✓ [1279] rag_query            | 迟到扣钱是怎么算的？
  ✓ [1280] rag_query            | 10月份去重庆的差旅补贴和交通发票我是一起打包提交的，现在补贴部分显示...
  ✓ [1281] rag_query            | 请问我4月28日入职的话，需要提前几天把身份证和毕业证原件交到钉钉人事...
  ✓ [1282] rag_query            | 上个月15号提交的广州差旅费用报销单，发票已经通过财务共享中心审核，但...
  ✓ [1283] rag_query            | 我办日本商务签证的加急费花了1200元，这笔能算在差旅预算里吗，还有回...
  ✓ [1284] rag_query            | 请问B座二层的彩色复合打印机具体位于哪个角落？
  ✓ [1285] multi_intent_split   | 明天下午两点要和张总开跨部门复盘会，我在钉钉上订了302会议室，顺便问...
  ✓ [1286] rag_query            | 刚入职半年，我的年假天数是按实际工作日折算的吗？
  ✓ [1287] multi_intent_split   | 钉钉群消息免打扰咋关，顺便查查调休剩几天。
  ✓ [1288] escalate             | 2024年11月5日我因突发肠胃炎请假，但审批流卡在直属主管那里未通过...
  ✓ [1289] escalate             | 上月工资条咋还没发钉钉，卡里钱没变动啊急死了！
  ✓ [1290] multi_intent_split   | 通义千问网页版一直弹出验证码，烦死了！我打算8月5日休年假回老家，请问...
  ✓ [1291] multi_intent_split   | 我的阿里云邮箱收不到验证码麻烦重置一下，顺便问清楚开通夸克企业网盘高级...
  ✓ [1292] rag_query            | 早上九点半打卡显示迟到，但我实际八点五十就到楼下了，申诉入口多久开放一...
  ✓ [1293] rag_query            | 计划下周三前往杭州西湖区的客户现场出差，请问高铁二等座的标准是多少，以...
  ✓ [1294] rag_query            | 刚来没满半年，前几个月到手少一块，后面涨回去是系统自动调整还是得填申请...
  ✓ [1295] rag_query            | 下周三去深圳出差的机票我已经用钉钉订好了，顺便问下这趟的餐补和市内交通...
  ✓ [1296] rag_query            | 新来的运营总监赵总下周一入职，他的社保公积金应该按哪个城市的基数缴纳，...
  ✓ [1297] rag_query            | 今天外勤打卡老是失败，咋回事啊？
  ✓ [1298] rag_query            | 我今年年假还没休完，跨年直接作废还是有别的说法啊？
  ✓ [1299] multi_intent_split   | 钉钉请假模块一直提示网络错误，难道要重装才能用？我计划7月12日休年假...
  ✓ [1300] escalate             | 因合作方审计要求，我必须导出本财年全部合同归档记录，但该操作触发通义数...
  ✓ [1301] multi_intent_split   | 上周去北京参展买的展台物料一共花了3200元，发票已经贴在报销单里了，...
  ✓ [1302] rag_query            | 试用期考核不合格是延长考察期还是直接终止劳动合同？
  ✓ [1303] rag_query            | 报销系统里显示我的每日出差补贴被扣了300块，请问制度里规定的招待客户...
  ✓ [1304] escalate             | 我的云盘权限突然被系统全局冻结，无法访问任何历史项目文档，且自动恢复脚...
  ✓ [1305] escalate             | 打印机卡纸报修半天没人来，三楼东边的。
  ✓ [1306] rag_query            | 想开个测试服务器，钉钉审批里该选哪个表单？
  ✓ [1307] rag_query            | 五险一金是入职当月就自动扣缴吗，试用期这三个月的缴纳比例需要我自己确认...
  ✓ [1308] rag_query            | 跨国出差超过12小时的长途航班，除了机票外有没有额外的疲劳补贴或签证补...
  ✓ [1309] rag_query            | 新员工录人脸考勤去几楼办？
  ✓ [1310] rag_query            | 根据最新的《员工行为规范V3.2》，周末加班餐补贴的标准是否调整了，请...
  ✓ [1311] rag_query            | 通义灵码更新后闪退，重装也没用咋整。
  ✓ [1312] escalate             | 上个月参加阿里云生态大会产生的会议注册费和交通票据均已扫描上传至夸克云...
  ✓ [1313] multi_intent_split   | 我下周四要带家属参加公司家属开放日，需要走访客预约流程，但我的钉钉账号...
  ✓ [1314] multi_intent_split   | 公司配发的笔记本电脑风扇异响严重，我下周三要飞长沙出差，能申请紧急调换...
  ✓ [1315] rag_query            | 我输错密码后星辰系统账号被锁定，请提供自助解锁流程链接。
  ✓ [1316] rag_query            | 查个人假期明细的链接在哪？
  ✓ [1317] multi_intent_split   | 我的旧笔记本最近运行语雀文档特别卡，想申请换台新电脑，另外能不能顺便帮...
  ✓ [1318] rag_query            | 试用期请假累计超过三天会不会影响最终转正评估结果？
  ✓ [1319] rag_query            | 我今年还剩五天年假，想在十一月十五号到二十号之间休掉，请问怎么在蓝鲸考...
  ✓ [1320] escalate             | 员工自助终端机连续三天无法打印带水印的保密合同，扫码报错且墨盒状态显示...
  ✓ [1321] escalate             | 我的跨区调岗申请已通过线下批复，但系统权限未同步开通新园区的访客门禁与...
  ✓ [1322] escalate             | 帮我重置阿里云子账号密码，顺带把测试环境白名单加上我ip。
  ✓ [1323] rag_query            | 加班餐补咋领？
  ✓ [1324] multi_intent_split   | 阿里云盘同步速度卡成幻灯片，我5月20日要去上海参加展会，急需导出项目...
  ✓ [1325] multi_intent_split   | 今年的商业保险理赔款大概多久能打到工资卡里，我上个月刚提交了牙科治疗发...
  ✓ [1326] escalate             | 上个月排班调整通知下发后，我的钉钉日历显示是正常休息，但月底考勤算成旷...
  ✓ [1327] rag_query            | 跨市交通补贴的申领条件及每日上限是多少？
  ✓ [1328] rag_query            | 钉钉报销系统里提交的加急申请，通常需要多少小时能到出纳打款节点？
  ✓ [1329] multi_intent_split   | 新员工入职手册里关于竞业限制的条款到底怎么理解？另外工牌什么时候能寄到...
  ✓ [1330] rag_query            | 报销单被财务打回后，修改重交的次数有没有限制？
  ✓ [1331] rag_query            | 新来的海外业务负责人周总监从伦敦调过来，他入境的隔离费和酒店押金怎么报...
  ✓ [1332] rag_query            | 外派入职人员的档案调转指引和社保缴纳地变更在哪里下载？
  ✓ [1333] escalate             | 通义千问开发环境最近响应特别慢，能帮我确认一下服务器负载情况。
  ✓ [1334] rag_query            | 国际差旅机票标准里，经济舱全价票超过8000元需要提前走哪个层级的报备...
  ✓ [1335] multi_intent_split   | 上周五请客户吃饭的餐饮发票一共1850元，我已经在钉钉拍了照上传，需要...
  ✓ [1336] rag_query            | 平时周末加班调休和法定节假日的三倍工资，咱们这儿到底走哪个？
  ✓ [1337] rag_query            | 明天去上海虹桥开会想知道外勤打卡地点需不需要提前报备，同时问一下如果高...
  ✓ [1338] escalate             | 钉钉会议系统在过去两小时持续崩溃，我正在主持跨部门战略复盘会，三十名高...
  ✓ [1339] multi_intent_split   | 我们项目组想在阿里云上开一个按量付费的GPU实例跑模型测试，预算大概在...
  ✓ [1340] escalate             | 我的个税专项附加扣除信息已在阿里云HR系统更新为新增赡养老人，但本月工...
  ✓ [1341] direct_answer        | 项目组需要开通云效平台全员使用权限，请指引集体申请入口。
  ✓ [1342] multi_intent_split   | 我11月5号到8号要休年假，那几天的打卡记录怎么在钉钉考勤里补签，另外...
  ✓ [1343] multi_intent_split   | 通义千问企业版的Token调用量超标了导致API限流，另外我们团队需要...
  ✓ [1344] escalate             | 连续三个月的部门团建费用报销均因“附件不全”被退回，但我已按要求在通义...
  ✓ [1345] rag_query            | 周末连续支援测试两天，加班申请时长是按实际在司时间算还是按八小时折算？
  ✓ [1346] multi_intent_split   | 我们的生产服务器要迁移到阿里云华东2节点，大概需要停机维护半天，这期间...
  ✓ [1347] rag_query            | 申请访问核心数据仓库的权限审批链路及所需前置条件是什么？
  ✓ [1348] multi_intent_split   | 出差补贴咋算的，另外申请个阿里云ecs临时跑下数据。
  ✓ [1349] multi_intent_split   | 麻烦开通一下通义大模型接口的测试额度权限，顺便问下上个月打车报销的29...
  ✓ [1350] rag_query            | 访客通行卡每天几点到几点可以领？
  ✓ [1351] rag_query            | 订了明天飞深圳的机票想确认改签手续费能不能报销，另外问下异地出差期间的...
  ✓ [1352] rag_query            | 跨市出差的打车费上限是不是调到每天两百了，另外客户临时宴请超标部分是需...
  ✓ [1353] rag_query            | 发票传阿里云oss了财务说没收到，咋回事？
  ✓ [1354] escalate             | 我明明在钉钉上按时提交了外勤打卡，但考勤系统显示10月22日我缺勤一天...
  ✓ [1355] multi_intent_split   | 新人入职第一天是不是必须下载钉钉，同时申请内部代码仓库只读权限大概需要...
  ✓ [1356] multi_intent_split   | 通义万相的高级功能试用到期了，想申请续费一年，大概1500元需要部门总...
  ✓ [1357] multi_intent_split   | 弹性工作制申请需要主管签字还是线上走流程？另外青岛分公司新入职的技术人...
  Round 5 结束 | 已有 1357 条

============================================================
Round 6/6 | 并行生成 11 组查询...
  Prompt 2: 25 条
  Prompt 4: 25 条
  Prompt 3: 25 条
  Prompt 5: 25 条
  Prompt 8: 25 条
  Prompt 7: 25 条
  Prompt 1: 25 条
  Prompt 6: 25 条
  Prompt 9: 25 条
  Prompt 10: 25 条
  Prompt 11: 25 条
  本轮共 275 条待标注，还需 43 条
  ✓ [1358] rag_query            | 11月中旬提交的三千多元住宿费到现在还没到账，请问在催办流程里能直接指...
  ✓ [1359] rag_query            | 要是中途离职，之前没休完的年假公司会给折算成钱吗？
  ✓ [1360] multi_intent_split   | 阿里邮箱附件超过50M上传就失败怎么扩容，下周三去上海办公室参加客户会...
  ✓ [1361] rag_query            | 制度里说的弹性工作制是每天打卡满8小时就行，还是必须核心时段在线？
  ✓ [1362] rag_query            | 阿里云技术支持部员工的剩余年假能查到吗？
  ✓ [1363] direct_answer        | 正常工作日早上打卡截止时间是9点30分吗？
  ✓ [1364] rag_query            | 申请开通夸克企业版的高级功能，直属领导批完后下一步怎么走？
  ✓ [1365] escalate             | 我的差旅报销单在阿里财务系统里被财务打回了三次，理由是高铁票据时间不符...
  ✓ [1366] escalate             | 3月10号的缺勤记录能帮我删了吗，另外把考勤异常说明的审批人改成王主管...
  ✓ [1367] rag_query            | 上个月去北京参加通义技术峰会期间统一安排了工作餐，这种情况下当天的出差...
  ✓ [1368] multi_intent_split   | 阿里云服务器实例突然无法SSH连接了怎么处理日志报错，5月30号去广州...
  ✓ [1369] multi_intent_split   | 我家属预产期在11月5号，打算提前三天陪产请事假，钉钉上陪产假流程需要...
  ✓ [1370] rag_query            | 通义千问API的调用额度快用完了，下周三有个内部AI黑客松，能申请临时...
  ✓ [1371] escalate             | 详细描述：我11月入职的试用期薪资核算似乎有误，系统按转正标准扣除了社...
  ✓ [1372] rag_query            | 请问公司安全策略规定账号锁定后需要等待多久才能自动解锁？
  ✓ [1373] rag_query            | 如何通过钉钉安全中心进行身份核验并解锁被冻结的系统登录权限？
  ✓ [1374] rag_query            | 我下周三要去上海参加行业峰会，请问阿里差旅平台上订高铁票的额度是多少，...
  ✓ [1375] rag_query            | 财务通知12月20日关账，那我21号寄出的纸质发票是否只能顺延计入明年...
  ✓ [1376] escalate             | 跑批任务一直卡着不动，控制台提示配额满了咋扩容啊
  ✓ [1377] multi_intent_split   | 为啥我的钉钉审批后台看不到跨部门协作的查看权限，3月15号垫付的120...
  ✓ [1378] multi_intent_split   | 系统权限一直打不开，新人入职后申请流程该怎么走？
  ✓ [1379] escalate             | 电子发票验真一直挂，财务非让换纸质，今天必须搞定急！
  ✓ [1380] rag_query            | 晚上加班到九点以后，公司规定的调休折算比例是多少？
  ✓ [1381] rag_query            | 我现在的VPN一直断连，马上要开紧急会议，怎么快速恢复阿里云VPN？
  ✓ [1382] escalate             | 内部邮箱发带附件的信总失败，清缓存也没辙咋办
  ✓ [1383] escalate             | 内网网盘满了。
  ✓ [1384] escalate             | 外部客户发来的重要合同附件被邮箱安全策略拦截，请紧急调整接收规则！
  ✓ [1385] rag_query            | 上个月吃饭的发票找不到了，能教我重新申请开票流程吗，还有报销截止日期是...
  ✓ [1386] multi_intent_split   | 员工体检报告在哪下载啊，顺便把家属保险名额申请下
  ✓ [1387] rag_query            | 省内短途出差每天的伙食补贴和市内交通补贴标准到底是多少？
  ✓ [1388] escalate             | 钉钉视频会议老是掉线，给换个网络节点行不行
  ✓ [1389] escalate             | 那个数据报表的查看权限开一下，谢谢。
  ✓ [1390] escalate             | 线上出现严重故障需要立刻拉取核心分支代码，请火速开通代码仓库访问权限！
  ✓ [1391] direct_answer        | 钉钉访客WiFi的密码是多少？
  ✓ [1392] rag_query            | 差旅费怎么报？还有酒店超标了咋整。
  ✓ [1393] multi_intent_split   | 我想查一下今年剩余年假天数，顺便帮我看下下个月15号之前能不能连休五天...
  ✓ [1394] direct_answer        | 钉钉密码输错锁定了找谁解锁啊，顺便重置下二步验证
  ✓ [1395] rag_query            | 下午弹性下班最早几点可以走？
  ✓ [1396] multi_intent_split   | 帮我看看Q3积累的调休假能不能直接折现发放，另外通义听悟导出的会议纪要...
  ✓ [1397] escalate             | 紧急求助！我的办公电脑连续死机导致未保存的通义文档丢失，常规重启无效，...
  ✓ [1398] multi_intent_split   | 下个月15号集团组织的AI赋能培训需要带公司配发的笔记本过去，请问现场...
  ✓ [1399] escalate             | 通义代码助手生成的基础组件包有漏洞告警，镜像仓库拉不下来，是不是安全策...
  ✓ [1400] multi_intent_split   | 个税申报系统数据没同步，顺便问下补充公积金咋扣的
  ✓ [1401] rag_query            | 公司班车路线临时改了没，下午赶高铁得算好时间
  ✓ [1402] multi_intent_split   | 这周六有一批校招实习生要来北京总部培训，请问怎么批量给他们开通钉钉访客...
  ✓ [1403] rag_query            | 需要在下个月5号临时变更广州行程，在钉钉差旅模块修改日期后是否需要重新...
  ✓ [1404] rag_query            | 4月28号下午地铁信号差没打上卡，拜访轨迹怎么补录呀？
  ✓ [1405] rag_query            | 实习生陪同正式员工出差，差旅申请单必须挂靠在谁的钉钉审批名下？
  ✓ [1406] escalate             | 我上个月15号在钉钉打卡系统明明显示已签到，但月底考勤报表里却标记为旷...
  ✓ [1407] rag_query            | 4月30号项目通宵，加班时长是从晚上七点开始按自然小时算吗？
  ✓ [1408] rag_query            | 计划11月8日带两名同事去西安驻场一周，随行人员的差旅申请是合并提交还...
  ✓ [1409] multi_intent_split   | 王总监说我5月20号的转正答辩材料需要补充，想问下通义千问能不能帮忙润...
  ✓ [1410] rag_query            | 新员工入职体检报告是不是必须交原件，5月10号报到当天能不能直接用通义...
  ✓ [1411] escalate             | 申请查看通义大模型训练数据集的脱敏数据权限，用于季度汇报分析。
  ✓ [1412] escalate             | 阿里云控制台实例突然飘红了，赶紧捞下日志看咋回事
  ✓ [1413] escalate             | 投诉！钉钉考勤规则最近自动把我的午休打卡判定为缺卡，连续三天扣薪，我明...
  ✓ [1414] rag_query            | 周末自己跑过来搞项目没走流程，能算调休吗？
  ✓ [1415] direct_answer        | 我下周一入职，分配的工位具体是在三楼还是四楼呀？
  ✓ [1416] rag_query            | 关于迟到扣款的规定，能不能发我一份详细条款？
  ✓ [1417] escalate             | 投诉升级：公司内网在阿里云控制台下显示正常，但我所在的国际业务部全员无...
  ✓ [1418] rag_query            | 请客户吃饭超标了，这部分餐费还能走特殊审批报销吗？
  ✓ [1419] rag_query            | 去客户现场拜访是不是必须在夸克外勤里开启定位打卡呀？
  ✓ [1420] multi_intent_split   | 境外客户汇款到公司虚拟账户，汇率波动大导致到账金额对不上合同，财务那边...
  ✓ [1421] rag_query            | 我上周五在钉钉提交了三笔交通费报销单，现在一直卡在审批节点，请问财务打...
  ✓ [1422] multi_intent_split   | 钉钉视频会议的AI降噪功能怎么手动关闭，下个月18号去重庆办公室出差的...
  ✓ [1423] escalate             | 投诉加急：我在10月20日提交的云服务器租赁报销单被系统判定为“重复提...
  ✓ [1424] rag_query            | 发票怎么交？
  ✓ [1425] multi_intent_split   | 员工手册里关于竞业协议的限制范围到底涵盖哪些核心业务，6月15号来杭州...
  ✓ [1426] multi_intent_split   | 麻烦帮我开通一下钉钉知识库的编辑权限，那笔垫付的3500元高铁票到底该...
  ✓ [1427] multi_intent_split   | 麻烦帮我重置一下阿里云数据库的只读权限，顺便确认下2月28号报销的56...
  ✓ [1428] rag_query            | 入职要带的银行卡复印件最晚明天下午几点前上传到钉钉就行？
  ✓ [1429] rag_query            | 海外出差的每日生活津贴是按固定汇率折算还是按当地消费水平分级核定？
  ✓ [1430] multi_intent_split   | 我下周要平调到华南大区做运营支持，请问原部门的数据资产交接单该怎么签，...
  ✓ [1431] rag_query            | 昨天迟到记录，今天晚走半小时能在系统里直接抵扣吗？
  ✓ [1432] rag_query            | 钉钉审批单里填了错误的成本中心，已经归档了还能撤回重提吗？
  ✓ [1433] rag_query            | 我计划6月10号到14号请事假回老家处理房产过户，这段时间钉钉考勤的打...
  ✓ [1434] escalate             | 我收到本月工资条发现绩效奖金比约定少了两千元，系统显示是“未达标自动扣...
  ✓ [1435] rag_query            | 在家办公时怎样通过安全沙箱访问内网的财务对账系统？
  ✓ [1436] escalate             | 上周四申请的阿里云服务器扩容一直没批，业务侧压测数据已经堆在测试库了，...
  ✓ [1437] direct_answer        | 实习生报到后的工位分配在哪个楼层？
  ✓ [1438] multi_intent_split   | 公司关于弹性工作制的最新制度文件在哪个内部链接能下载，4月18号在杭州...
  ✓ [1439] escalate             | 我因参与机密项目需在钉钉上申请越级数据导出权限，常规流程已被安全策略拦...
  ✓ [1440] direct_answer        | 想用通义千问跑数据，申请调用接口的流程卡住了该找谁？
  ✓ [1441] rag_query            | 根据最新员工手册，关于居家办公的申请流程是否有更新？
  ✓ [1442] rag_query            | 年假能不能折算成工资发？如果不能的话，跨年的假期最晚能延到几月份？
  ✓ [1443] multi_intent_split   | 下周五团建去莫干山，行政说租车费用走对公，但我个人垫付了民宿定金，发票...
  ✓ [1444] direct_answer        | 新入职的产品经理工位安排在几楼？
  ✓ [1445] multi_intent_split   | 下周一我要去广州南沙工厂做设备巡检，钉钉上的外勤打卡定位范围怎么设置，...
  ✓ [1446] rag_query            | 早上9点15分打卡系统会记录为迟到吗？
  ✓ [1447] multi_intent_split   | 外派员工的异地安置费发放细则到底有没有明文规定，下周去南京办公室办入职...
  ✓ [1448] escalate             | 紧急申请：客户现场系统突发宕机，我急需临时提权至阿里云生产数据库进行日...
  ✓ [1449] rag_query            | 去上海出差住哪比较方便？
  ✓ [1450] direct_answer        | 门禁刷不出人脸了咋办，急得进不去工位了
  ✓ [1451] rag_query            | 10月25日发生的上海高铁票和住宿费已经在系统里挂了半个月，请问单据的...
  ✓ [1452] rag_query            | 刚转正的话，今年的年假额度是按月份折算还是直接给全年？
  ✓ [1453] escalate             | 软件装不上，老闪退。
  ✓ [1454] multi_intent_split   | 我下周三要休调休，但手里星瀚项目的交付节点正好撞上，想确认跨部门请假流...
  ✓ [1455] rag_query            | 申请访问研发内网知识库的完整网络策略配置步骤是什么？
  ✓ [1456] rag_query            | 新人线上安全培训的视频必须在4月15号前看完吗？
  ✓ [1457] multi_intent_split   | 阿里云ECS实例凌晨自动重启了，日志显示是健康检查失败，但我查了云监控...
  ✓ [1458] multi_intent_split   | 跨时区远程办公的打卡规则是什么？我在海外分公司驻场，钉钉定位总飘到国内...
  ✓ [1459] multi_intent_split   | 应届生落户补贴的申请条件是不是需要连续缴纳社保满六个月，8月20号来上...
  ✓ [1460] multi_intent_split   | 我们部门下周五去千岛湖搞拓展活动，请问行政那边能统一买团体意外险吗，另...
  ✓ [1461] rag_query            | 请问新入职员工在钉钉提交《新人指引》后，通常几个工作日内能收到工牌邮寄...
  ✓ [1462] rag_query            | 报销单被财务打回来了咋改啊，急等着付尾款呢
  ✓ [1463] direct_answer        | 数据智能部门的固定办公区在园区的哪个方位？
  ✓ [1464] rag_query            | 财务报销系统里餐饮发票丢了电子底账能补打吗？另外出差补贴是按自然日还是...
  ✓ [1465] rag_query            | 周末如果来公司加班，餐补和打车费是按什么标准给的呀？
  ✓ [1466] direct_answer        | 导师安排的第一次业务分享会是不是定在下周二下午两点呀？
  ✓ [1467] rag_query            | 电子发票和纸质专票混在一起交，财务审核规范是啥？
  ✓ [1468] rag_query            | 跨部门协作时如何申请只读权限访问算法团队的私有代码仓库？
  ✓ [1469] rag_query            | 我想申请云效代码库的读写权限以便参与前端模块重构，需要哪位主管审批？
  ✓ [1470] escalate             | 门禁卡失效了。
  ✓ [1471] rag_query            | 杭州本地出差的住宿标准是严格参照省内标准还是可以申请上浮？
  ✓ [1472] rag_query            | 我需要在阿里云后台给外包团队开一个子账号，要求只读权限且有效期截止到年...
  ✓ [1473] multi_intent_split   | 请为张伟开通通义千问高级版的使用权限，顺便把之前申请的测试环境资源释放...
  ✓ [1474] direct_answer        | 打印机卡纸找谁？
  ✓ [1475] rag_query            | 新入职员工申请星辰VPN客户端的安装包和配置指南应该去哪里下载？
  ✓ [1476] rag_query            | 我下周三要去深圳参加行业展会，请问一线城市每晚的酒店住宿报销上限具体是...
  ✓ [1477] rag_query            | 连续出差超过十五天，餐补是按全额发放还是会按阶梯比例递减？
  ✓ [1478] rag_query            | 申请开通阿里云测试环境的高级读写权限，需要经过哪些层级的审批节点？
  ✓ [1479] rag_query            | 夸克搜索最近总弹出登录过期，缓存清理了也没用，是通义后台在升级吗？
  ✓ [1480] escalate             | 外网访问代码库报403咋整，急！代码今晚必须合入
  ✓ [1481] escalate             | 紧急求助！我的公积金缴纳基数在阿里云HR系统里突然从一万八降到一万二，...
  ✓ [1482] rag_query            | 根据现行财务制度，市内交通报销的单日上限额度及发票开具要求为何？
  ✓ [1483] rag_query            | 早上钉钉打卡的最晚时间是几点？
  ✓ [1484] multi_intent_split   | 我上个月申请的病假和年假能不能合并计算扣减额度，另外钉钉文档的权限继承...
  ✓ [1485] direct_answer        | 如何在钉钉邮箱客户端内配置工作账号并同步历史通讯录？
  ✓ [1486] rag_query            | 调休审批通过后，4月30号当天的考勤状态会自动变更为休假吗？
  ✓ [1487] multi_intent_split   | 领办公物资的流程在哪找啊，顺便把工牌挂绳申请下呗
  ✓ [1488] rag_query            | 昨天报销的打车费没到账。
  ✓ [1489] rag_query            | 去年攒的年假能不能挪到今年一起休掉，有没有什么限制条件？
  ✓ [1490] rag_query            | 下周六的紧急加班申请，最晚周五几点前必须提交流程？
  ✓ [1491] rag_query            | 产品组打算8月8号去莫干山搞两天一夜的团建，总共十五个人，请问每人三千...
  ✓ [1492] rag_query            | 法定节假日期间安排员工值班，加班补偿政策及三倍工资发放标准如何执行？
  ✓ [1493] rag_query            | 夸克企业助手里查到旧制度说发票过期三个月作废，新规对跨月发票的报销时限...
  ✓ [1494] rag_query            | 夸克搜索业务线的工位是开放式布局还是独立隔断？
  ✓ [1495] multi_intent_split   | 钉钉请假审批卡在主管那儿了，顺便问下年假额度还够不够
  ✓ [1496] rag_query            | 我5月6号才正式报到，体检报告是不是得提前三天交到人事部呀？
  ✓ [1497] multi_intent_split   | 钉钉日程怎么同步到夸克日历啊，顺便把下周五的会议挪到周三
  ✓ [1498] escalate             | 情绪投诉：我在夸克网盘上传的发票明明符合规定，为什么报销审批一直卡在“...
  ✓ [1499] multi_intent_split   | 我4月5日要到深圳分公司入职，需要提前在夸克网盘上传哪些材料，另外租房...
  ✓ [1500] multi_intent_split   | 我的年假余额显示异常少了两天该找哪个系统核对，另外钉钉打卡定位总是飘到...
  ✓ [1501] multi_intent_split   | 李四负责的云端重构项目要提前结项，预算结余怎么处理？另外合同章流程卡在...
  ✓ [1502] escalate             | 正式申诉：我因产假返岗后钉钉排班表未同步更新，导致12月1日至5日全部...
  ✓ [1503] escalate             | 客户投诉订单数据异常，急需开通瓴羊BI看板的数据明细查看权限进行溯源！
  ✓ [1504] rag_query            | 之前攒的假到底是怎么折算天数的？
  ✓ [1505] rag_query            | 运营同学需要申请星辰系统商家管理后台的菜单配置权限，如何提交工单？
  ✓ [1506] rag_query            | 夸克业务线的临时工位通常安排在12楼东侧吗？
  ✓ [1507] rag_query            | 新员工入职需要申请开通星辰数据中台的使用权限，标准审批流程怎么走？
  ✓ [1508] rag_query            | 项目组成员在异地联合办公期间若客户方提供住宿，公司发放的差旅补贴是否会...
  ✓ [1509] escalate             | 正式申诉：我的季度团建费用报销在钉钉审批流中被财务以“超预算”为由驳回...
  ✓ [1510] rag_query            | 我这周打卡老是漏掉，怎么在考勤系统里补个卡啊？
  ✓ [1511] escalate             | 紧急申请：由于客户临时变更会议地点导致原定酒店取消，我不得不预订了其他...
  ✓ [1512] rag_query            | 出差期间如果全程使用阿里云企业打车账号结算，个人月底还需要额外申报交通...
  ✓ [1513] rag_query            | 上个月帮客户垫付了1200元的系统服务费，请问这种代垫款能在钉钉报销里...
  ✓ [1514] escalate             | 星辰系统在高峰时段总是加载缓慢，是服务器带宽不足还是我本地网络问题？
  ✓ [1515] rag_query            | 请问如何为部门公共邮箱设置日历共享权限以便团队排期？
  ✓ [1516] rag_query            | 公司规定的标准上班打卡时间是早上几点？
  ✓ [1517] rag_query            | 出差住酒店，一线城市和非一线城市的报销限额分别是多少？
  ✓ [1518] escalate             | 大促期间发现后台价格配置错误，紧急申请开通商品管理后台的超级管理员权限...
  ✓ [1519] rag_query            | 请问出差在外如何通过钉钉安全网关连接到公司星辰系统？
  ✓ [1520] rag_query            | 年度员工体检通知刚发到钉钉邮箱，请问今年合作的内部体检中心在杭州有几个...
  ✓ [1521] rag_query            | 去广州的差旅补助是按天发还是按顿发，顺便问一下如果跟客户一起吃工作餐还...
  ✓ [1522] rag_query            | 报销单被财务打回修改后，再次提交是否会触发新的催办倒计时？
  ✓ [1523] rag_query            | 12月31日之前产生的所有差旅费用，最晚必须在次年几月几号前完成系统投...
